#Gene Level Annotation Report
#2023-11-15 03:23:36.667571
#CRAVAT version: hybrid
#Analysis done at http://www.cravat.us.
#Job Id: au198_20231114_215211
#Input file: ERR2348724.sorted.indexed.flagged_1_.vcf
#This report shows analysis results at gene level.
#The composite p-value (Stouffer's combined p-value) and composite FDR of a gene show how probable it is to get the same p-value distribution for the gene as that obtained from the input variants by chance.
#hg19 genomic.
#N/A
#For more information on CRAVAT, visit http://www.cravat.us.

HUGO symbol	Number of variants	Sequence ontology	CGC driver class	CGC inheritance	CGC tumor types somatic	CGC tumor types germline	ClinVar disease identifier	ClinVar XRef	Occurrences in COSMIC	COSMIC gene count (tissue)	Number of samples with gene mutated	GeneCards summary (from http://www.genecards.org)	PubMed article count	PubMed search term	CHASM gene score	CHASM gene p-value	CHASM gene FDR	VEST gene score (non-silent)	VEST gene p-value	VEST gene FDR	Protein 3D gene	Has a mutation in a TCGA Mutation Cluster	NCI pathway hits	NCI pathway IDs	NCI pathway names	TARGET	CGL driver class
CPSF3L	6	MS							113	upper_aerodigestive_tract(4);thyroid(1);large_intestine(32);stomach(11);soft_tissue(1);central_nervous_system(3);haematopoietic_and_lymphoid_tissue(3);kidney(4);endometrium(6);urinary_tract(1);lung(5);liver(1);skin(13);oesophagus(4);NS(9);prostate(7);breast(4);pancreas(4)	1	 The Integrator complex contains at least 12 subunits and associates with the C-terminal domain of RNA polymerase	0					0.036	0.96802	1							
CPTP	1	SY									1	No GeneCards annotation	0														
TAS1R3	1	MS							148	large_intestine(40);endometrium(5);lung(7);skin(15);kidney(4);thyroid(5);cervix(2);central_nervous_system(2);oesophagus(3);NS(4);upper_aerodigestive_tract(6);biliary_tract(1);stomach(11);soft_tissue(1);urinary_tract(17);breast(7);prostate(2);pancreas(5);salivary_gland(2);ovary(2);bone(1);liver(6)	1	 The TAS1R3 gene encodes the human homolog of mouse Sac, a major determinant of differences between sweet-sensitive	1	http://www.ncbi.nlm.nih.gov/pubmed?term=TAS1R3[TIAB]+AND+cancer[MH]				0.028	0.97784	1	../MuPIT_Interactive?gm=chr1:1334174						
DVL1	1	SY					C0265205	OMIM:180700	135	large_intestine(33);endometrium(7);lung(7);skin(19);kidney(4);cervix(1);central_nervous_system(1);oesophagus(5);NS(7);upper_aerodigestive_tract(6);biliary_tract(1);stomach(10);soft_tissue(3);fallopian_tube(1);urinary_tract(2);breast(4);prostate(6);pancreas(5);haematopoietic_and_lymphoid_tissue(3);ovary(1);bone(1);liver(8)	1	 DVL1, the human homolog of the Drosophila dishevelled gene (dsh) encodes a cytoplasmic phosphoprotein that	17	http://www.ncbi.nlm.nih.gov/pubmed?term=DVL1[TIAB]+AND+cancer[MH]													
MIB2	2	MS							214	large_intestine(48);endometrium(11);lung(13);skin(31);kidney(2);thyroid(4);cervix(1);central_nervous_system(7);oesophagus(5);NS(4);upper_aerodigestive_tract(9);biliary_tract(2);stomach(10);soft_tissue(9);urinary_tract(12);liver(9);prostate(15);pancreas(8);small_intestine(2);haematopoietic_and_lymphoid_tissue(3);ovary(2);breast(7)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=MIB2[TIAB]+AND+cancer[MH]				0.197	0.53719	1							
CDK11B	1	SY									1	 This gene encodes a member of the p34Cdc2 protein kinase family. p34Cdc2 kinase family members are known to be	0														
SLC35E2B	2	MS							70	upper_aerodigestive_tract(43);thyroid(8);large_intestine(4);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(1);endometrium(4);lung(1);liver(3);oesophagus(1);NS(1);prostate(1);kidney(1);breast(1)	1	No GeneCards annotation	0					0.308	0.370326284873301	1							
CDK11A	12	II							134	large_intestine(26);endometrium(5);lung(3);skin(11);kidney(3);thyroid(6);cervix(3);eye(1);central_nervous_system(4);oesophagus(8);NS(4);upper_aerodigestive_tract(13);biliary_tract(1);stomach(5);urinary_tract(3);liver(1);prostate(3);pancreas(3);haematopoietic_and_lymphoid_tissue(17);ovary(1);bone(3);breast(10)	1	 This gene encodes a member of the p34Cdc2 protein kinase family. p34Cdc2 kinase family members are known to be	0					0.48	0.588905699291829	1	../MuPIT_Interactive?gm=chr1:1716455,chr1:1719358,chr1:1719393,chr1:1719406						
SLC35E2	3	MS							91	upper_aerodigestive_tract(37);thyroid(6);large_intestine(9);stomach(2);central_nervous_system(1);liver(3);haematopoietic_and_lymphoid_tissue(4);biliary_tract(1);endometrium(3);urinary_tract(2);lung(4);breast(4);skin(8);oesophagus(3);NS(1);prostate(1);bone(1);pancreas(1)	1	No GeneCards annotation	0					0.183	0.732386195780982	1							
NADK	1	MS							125	large_intestine(16);endometrium(10);lung(7);skin(16);autonomic_ganglia(2);kidney(3);thyroid(3);cervix(1);central_nervous_system(3);oesophagus(2);parathyroid(1);NS(6);upper_aerodigestive_tract(11);biliary_tract(1);stomach(13);urinary_tract(3);breast(4);prostate(5);pancreas(5);salivary_gland(1);haematopoietic_and_lymphoid_tissue(3);ovary(4);bone(1);liver(4)	1	 NADK catalyzes the transfer of a phosphate group from ATP to NAD to generate NADP, which in its reduced form acts	1	http://www.ncbi.nlm.nih.gov/pubmed?term=NADK[TIAB]+AND+cancer[MH]				0.275	0.3868	1	../MuPIT_Interactive?gm=chr1:1754601						
CFAP74	8	II									1	No GeneCards annotation	0					0.339	0.99816073926196	1							
MORN1	1	MS							98	thyroid(4);upper_aerodigestive_tract(1);large_intestine(15);stomach(6);soft_tissue(2);central_nervous_system(1);pancreas(4);haematopoietic_and_lymphoid_tissue(3);kidney(2);endometrium(5);urinary_tract(3);lung(4);breast(12);skin(15);oesophagus(4);ovary(2);NS(1);prostate(3);bone(1);liver(10)	1	No GeneCards annotation	0					0.637	0.10626	1							
PEX10	1	SY					C3553947	OMIM:614870	55	upper_aerodigestive_tract(4);thyroid(1);large_intestine(9);stomach(5);soft_tissue(3);central_nervous_system(2);haematopoietic_and_lymphoid_tissue(4);breast(1);endometrium(3);lung(2);liver(1);skin(9);oesophagus(3);NS(1);kidney(3);pancreas(4)	1	 This gene encodes a protein involved in import of peroxisomal matrix proteins. This protein localizes to the	0														
PLCH2	3	MS							234	large_intestine(48);endometrium(7);lung(11);skin(50);kidney(6);thyroid(8);central_nervous_system(8);oesophagus(13);NS(3);upper_aerodigestive_tract(9);biliary_tract(2);stomach(11);soft_tissue(2);urinary_tract(2);breast(6);prostate(12);pancreas(11);haematopoietic_and_lymphoid_tissue(6);thymus(1);ovary(4);bone(2);liver(12)	1	 PLCH2 is a member of the PLC-eta family of the phosphoinositide-specific phospholipase C (PLC) superfamily of	0	Retrieval+error				0.059	0.984819993117947	1							
PANK4	2	MS							199	large_intestine(46);pleura(1);endometrium(12);lung(6);skin(33);kidney(2);thyroid(3);cervix(1);central_nervous_system(1);oesophagus(4);NS(9);upper_aerodigestive_tract(9);biliary_tract(4);stomach(6);soft_tissue(2);urinary_tract(7);breast(6);prostate(8);pancreas(5);small_intestine(2);haematopoietic_and_lymphoid_tissue(9);ovary(5);bone(1);liver(17)	1	 This gene encodes a protein belonging to the pantothenate kinase family. Pantothenate kinase is a key regulatory	0					0.05	0.94383	1	../MuPIT_Interactive?gm=chr1:2512975						
TNFRSF14	3	MS							83	upper_aerodigestive_tract(2);large_intestine(3);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(73);oesophagus(1);NS(1);kidney(1);pancreas(1)	1	 The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor was identified as a	38	http://www.ncbi.nlm.nih.gov/pubmed?term=TNFRSF14[MH]+AND+cancer[MH]				0.035	0.996550135130443	1							
MMEL1	2	SY							227	upper_aerodigestive_tract(3);cervix(6);large_intestine(46);stomach(9);soft_tissue(4);central_nervous_system(8);haematopoietic_and_lymphoid_tissue(9);breast(5);biliary_tract(2);endometrium(9);urinary_tract(12);lung(8);liver(21);skin(52);oesophagus(2);ovary(3);NS(6);prostate(8);kidney(8);pancreas(6)	1	 The protein encoded by this gene is a member of the neutral endopeptidase (NEP) or membrane metallo-endopeptidase	0	Retrieval+error													
TTC34	1	SY							39	upper_aerodigestive_tract(1);thyroid(1);large_intestine(6);liver(8);cervix(1);peritoneum(1);biliary_tract(1);adrenal_gland(1);oesophagus(3);breast(5);skin(6);lung(1);ovary(1);kidney(1);pancreas(2)	1	No GeneCards annotation	0														
PRDM16	1	MS					C3809288	OMIM:615373	455	large_intestine(81);endometrium(22);lung(28);skin(102);stomach(34);kidney(9);thyroid(6);cervix(7);central_nervous_system(11);oesophagus(15);NS(5);upper_aerodigestive_tract(8);biliary_tract(3);autonomic_ganglia(1);soft_tissue(10);urinary_tract(14);breast(15);prostate(11);ovary(2);pancreas(4);salivary_gland(3);small_intestine(1);haematopoietic_and_lymphoid_tissue(12);pituitary(1);bone(2);liver(48)	1	 The reciprocal translocation t(1;3)(p36;q21) occurs in a subset of myelodysplastic syndrome (MDS) and acute	20	http://www.ncbi.nlm.nih.gov/pubmed?term=PRDM16[TIAB]+AND+cancer[MH]				0.081	0.85224	1							
ARHGEF16	5	MS							106	upper_aerodigestive_tract(9);cervix(1);large_intestine(19);stomach(14);soft_tissue(3);central_nervous_system(5);haematopoietic_and_lymphoid_tissue(1);kidney(1);biliary_tract(2);endometrium(2);urinary_tract(2);oesophagus(7);breast(2);skin(24);lung(5);ovary(1);NS(4);prostate(2);bone(1);liver(1)	1	 Although the specific function of this protein is not known yet, it is thought to be involved in protein-protein	4	http://www.ncbi.nlm.nih.gov/pubmed?term=ARHGEF16[TIAB]+AND+cancer[MH]				0.152	0.757662196806642	1	../MuPIT_Interactive?gm=chr1:3473163,chr1:3480498						
MEGF6	6	MS							347	large_intestine(110);pleura(1);endometrium(14);lung(11);skin(39);meninges(1);kidney(3);thyroid(8);cervix(1);central_nervous_system(5);oesophagus(15);NS(3);upper_aerodigestive_tract(14);biliary_tract(3);stomach(32);soft_tissue(7);urinary_tract(9);liver(27);prostate(11);pancreas(5);small_intestine(2);haematopoietic_and_lymphoid_tissue(16);ovary(1);bone(2);breast(7)	1	No GeneCards annotation	0					0.659	0.865051852727294	1							
TP73	1	SY							186	thyroid(4);cervix(9);large_intestine(36);stomach(11);soft_tissue(12);central_nervous_system(2);haematopoietic_and_lymphoid_tissue(10);breast(5);biliary_tract(2);endometrium(9);urinary_tract(4);liver(12);oesophagus(9);bone(1);skin(27);lung(10);ovary(2);NS(5);prostate(6);kidney(4);pancreas(6)	1	 This gene encodes a member of the p53 family of transcription factors involved in cellular responses to stress and	114	http://www.ncbi.nlm.nih.gov/pubmed?term=TP73[TIAB]+AND+cancer[MH]													
CCDC27	1	MS							230	large_intestine(34);endometrium(16);lung(16);skin(62);kidney(1);thyroid(3);cervix(1);central_nervous_system(3);oesophagus(5);NS(4);upper_aerodigestive_tract(6);stomach(10);soft_tissue(5);urinary_tract(9);liver(9);prostate(5);pancreas(7);small_intestine(1);haematopoietic_and_lymphoid_tissue(14);thymus(1);ovary(4);bone(1);breast(13)	1	No GeneCards annotation	0					0.161	0.60864	1	../MuPIT_Interactive?gm=chr1:3763781						
CEP104	5	MS					C4084842	OMIM:616781	238	large_intestine(46);endometrium(21);lung(10);skin(45);kidney(3);thyroid(2);cervix(2);central_nervous_system(7);oesophagus(6);NS(6);upper_aerodigestive_tract(7);biliary_tract(1);stomach(14);soft_tissue(4);urinary_tract(3);liver(18);prostate(5);pancreas(12);salivary_gland(1);haematopoietic_and_lymphoid_tissue(15);bone(1);breast(9)	1	No GeneCards annotation	0	Retrieval+error				0.039	0.997855754219163	1	../MuPIT_Interactive?gm=chr1:3836572						
DFFB	3	MS							63	upper_aerodigestive_tract(2);thyroid(3);large_intestine(10);stomach(4);soft_tissue(2);pancreas(1);haematopoietic_and_lymphoid_tissue(1);endometrium(8);urinary_tract(1);oesophagus(3);breast(1);skin(11);lung(5);ovary(1);NS(2);prostate(1);kidney(2);liver(5)	1	 Apoptosis is a cell death process that removes toxic and/or useless cells during mammalian development. The	1	http://www.ncbi.nlm.nih.gov/pubmed?term=DFFB[TIAB]+AND+cancer[TIAB]				0.034	0.97045	1	../MuPIT_Interactive?gm=chr1:3869681						
C1orf174	2	MS							57	upper_aerodigestive_tract(1);cervix(1);large_intestine(8);stomach(6);central_nervous_system(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(6);biliary_tract(3);endometrium(4);urinary_tract(2);oesophagus(2);liver(4);lung(2);skin(5);autonomic_ganglia(1);ovary(1);pancreas(1);prostate(3);kidney(2);breast(3)	1	No GeneCards annotation	0					0.044	0.95405	1							
AJAP1	2	MS							240	large_intestine(47);peritoneum(1);endometrium(8);lung(11);skin(40);thyroid(4);central_nervous_system(1);oesophagus(14);NS(3);upper_aerodigestive_tract(1);biliary_tract(8);stomach(14);soft_tissue(5);urinary_tract(2);liver(18);prostate(7);pancreas(42);haematopoietic_and_lymphoid_tissue(5);thymus(1);ovary(1);bone(2);breast(5)	1	No GeneCards annotation	11	http://www.ncbi.nlm.nih.gov/pubmed?term=AJAP1[TIAB]+AND+cancer[MH]				0.166	0.59862	1							
NPHP4	4	SS					C1846979	OMIM:606996	351	large_intestine(75);endometrium(32);lung(16);skin(50);autonomic_ganglia(1);kidney(6);thyroid(1);cervix(4);central_nervous_system(5);oesophagus(8);NS(5);upper_aerodigestive_tract(11);biliary_tract(9);stomach(20);soft_tissue(9);urinary_tract(1);liver(19);prostate(19);pancreas(8);adrenal_gland(2);small_intestine(3);haematopoietic_and_lymphoid_tissue(14);ovary(6);bone(9);breast(18)	1	 This gene encodes a protein involved in renal tubular development and function. This protein interacts with	4	http://www.ncbi.nlm.nih.gov/pubmed?term=NPHP4[TIAB]+AND+cancer[MH]				0.578	0.142638328975991	1							
KCNAB2	2	MS							78	upper_aerodigestive_tract(1);cervix(1);large_intestine(10);stomach(2);central_nervous_system(1);liver(10);haematopoietic_and_lymphoid_tissue(3);soft_tissue(1);endometrium(4);urinary_tract(3);oesophagus(2);breast(7);skin(17);lung(5);ovary(1);NS(2);bone(1);kidney(2);pancreas(5)	1	 Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both	1	http://www.ncbi.nlm.nih.gov/pubmed?term=KCNAB2[TIAB]+AND+cancer[MH]				0.08	0.85528	1							
CHD5	3	MS							15	upper_aerodigestive_tract(2);central_nervous_system(1);lung(2);liver(1);skin(1);ovary(4);pancreas(1);breast(3)	1	 This gene encodes a member of the chromodomain helicase DNA-binding protein family. Members of this family are	30	http://www.ncbi.nlm.nih.gov/pubmed?term=CHD5[TIAB]+AND+cancer[MH]				0.134	0.977782821513697	1							
RNF207	7	MS							119	upper_aerodigestive_tract(1);thyroid(3);large_intestine(29);stomach(4);soft_tissue(8);central_nervous_system(1);cervix(1);haematopoietic_and_lymphoid_tissue(8);liver(1);biliary_tract(1);endometrium(12);urinary_tract(1);oesophagus(3);breast(8);skin(18);lung(7);ovary(3);NS(2);prostate(1);bone(2);pancreas(5)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=RNF207[TIAB]+AND+cancer[MH]				0.043	0.999971100366811	1							
HES3	2	MS							32	thyroid(5);upper_aerodigestive_tract(2);large_intestine(13);stomach(1);soft_tissue(1);lung(1);liver(7);skin(1);breast(1)	1	No GeneCards annotation	9	http://www.ncbi.nlm.nih.gov/pubmed?term=HES3[TIAB]+AND+cancer[MH]				0.053	0.93837	1							
GPR153	2	MS							148	large_intestine(17);endometrium(7);lung(8);skin(14);autonomic_ganglia(1);kidney(1);thyroid(4);cervix(6);central_nervous_system(4);oesophagus(6);NS(1);upper_aerodigestive_tract(27);biliary_tract(3);stomach(12);soft_tissue(2);breast(6);prostate(6);pancreas(4);small_intestine(1);haematopoietic_and_lymphoid_tissue(4);ovary(4);liver(10)	1	No GeneCards annotation	0					0.064	0.9074	1							
NOL9	3	MS							132	thyroid(4);upper_aerodigestive_tract(2);large_intestine(28);NS(1);stomach(6);central_nervous_system(4);cervix(2);haematopoietic_and_lymphoid_tissue(16);endometrium(7);urinary_tract(4);lung(8);liver(9);skin(14);oesophagus(3);ovary(1);pancreas(3);prostate(5);bone(4);kidney(6);breast(5)	1	No GeneCards annotation	0					0.168	0.996423743800895	1							
TAS1R1	2	MS							204	large_intestine(29);endometrium(13);lung(13);skin(39);autonomic_ganglia(1);kidney(4);thyroid(3);cervix(3);testis(1);central_nervous_system(5);oesophagus(8);NS(6);upper_aerodigestive_tract(8);biliary_tract(3);stomach(11);soft_tissue(4);urinary_tract(9);liver(9);prostate(4);pancreas(9);meninges(1);haematopoietic_and_lymphoid_tissue(7);ovary(2);bone(5);breast(7)	1	 The protein encoded by this gene is a G protein-coupled receptor and is a component of the heterodimeric amino	0	Retrieval+error				0.196	0.927071747309323	1	../MuPIT_Interactive?gm=chr1:6576996						
ZBTB48	1	ID							113	upper_aerodigestive_tract(4);thyroid(1);large_intestine(20);NS(1);stomach(8);soft_tissue(1);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(3);biliary_tract(1);endometrium(2);urinary_tract(4);oesophagus(5);breast(7);skin(12);lung(8);ovary(2);pancreas(4);prostate(6);bone(2);kidney(4);liver(17)	1	No GeneCards annotation	0					0.05	0.77284	1							
KLHL21	1	SY							84	upper_aerodigestive_tract(3);thyroid(1);large_intestine(18);stomach(8);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(9);biliary_tract(1);endometrium(7);lung(5);liver(4);skin(9);oesophagus(7);NS(2);prostate(5);kidney(3);breast(1)	1	No GeneCards annotation	0														
DNAJC11	1	SY							143	thyroid(6);large_intestine(23);stomach(12);soft_tissue(2);central_nervous_system(6);haematopoietic_and_lymphoid_tissue(4);thymus(1);endometrium(14);urinary_tract(6);kidney(3);oesophagus(8);liver(12);skin(20);lung(2);ovary(4);NS(6);prostate(1);bone(2);breast(9);pancreas(2)	1	No GeneCards annotation	0	Retrieval+error													
CAMTA1	3	MS					C3553661	OMIM:614756	542	large_intestine(82);endometrium(40);lung(38);skin(108);kidney(7);thyroid(2);cervix(7);central_nervous_system(9);oesophagus(22);NS(23);upper_aerodigestive_tract(9);biliary_tract(11);stomach(38);soft_tissue(5);urinary_tract(12);breast(19);prostate(23);pancreas(10);small_intestine(4);haematopoietic_and_lymphoid_tissue(13);ovary(15);bone(9);liver(36)	1	No GeneCards annotation	17	http://www.ncbi.nlm.nih.gov/pubmed?term=CAMTA1[TIAB]+AND+cancer[MH]				0.079	0.8575	1							
PER3	5	SS					C4225169	OMIM:616882	345	large_intestine(58);endometrium(20);lung(7);skin(52);autonomic_ganglia(1);kidney(11);thyroid(6);cervix(8);central_nervous_system(9);oesophagus(12);NS(9);upper_aerodigestive_tract(19);biliary_tract(2);stomach(16);soft_tissue(10);urinary_tract(10);liver(29);prostate(10);pancreas(4);adrenal_gland(2);small_intestine(2);haematopoietic_and_lymphoid_tissue(17);ovary(2);breast(29)	1	 This gene is a member of the Period family of genes and is expressed in a circadian pattern in the suprachiasmatic	27	http://www.ncbi.nlm.nih.gov/pubmed?term=PER3[TIAB]+AND+cancer[MH]				0.514	0.62449383437018	1							
UTS2	3	MS							35	large_intestine(8);stomach(3);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(5);endometrium(2);urinary_tract(1);lung(2);kidney(1);skin(6);ovary(1);NS(1);prostate(1);bone(2);breast(1)	1	 This gene encodes a mature peptide that is an active cyclic heptapeptide absolutely conserved from lamprey to	1	http://www.ncbi.nlm.nih.gov/pubmed?term=UTS2[TIAB]+AND+cancer[MH]				0.394	0.936045560855782	1							
SLC45A1	3	MS					CN277733	OMIM:617532	239	large_intestine(48);endometrium(6);lung(15);skin(52);kidney(6);thyroid(4);cervix(3);testis(1);central_nervous_system(5);oesophagus(11);parathyroid(1);NS(6);upper_aerodigestive_tract(2);biliary_tract(3);stomach(13);urinary_tract(11);breast(5);prostate(9);pancreas(7);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(7);ovary(3);bone(6);liver(14)	1	No GeneCards annotation	0					0.045	0.95254	1							
RERE	5	SY					C4310772	OMIM:616975	400	large_intestine(88);endometrium(29);lung(15);skin(64);kidney(19);thyroid(10);cervix(4);central_nervous_system(7);genital_tract(1);oesophagus(9);NS(17);upper_aerodigestive_tract(9);biliary_tract(2);stomach(29);soft_tissue(9);urinary_tract(14);liver(20);prostate(9);pancreas(7);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(10);ovary(4);bone(3);breast(20)	1	 This gene encodes a member of the atrophin family of arginine-glutamic acid (RE) dipeptide repeat-containing	8	http://www.ncbi.nlm.nih.gov/pubmed?term=RERE[TIAB]+AND+cancer[MH]													
CA6	6	MS							112	large_intestine(14);endometrium(3);lung(4);skin(31);autonomic_ganglia(1);kidney(1);thyroid(4);cervix(1);central_nervous_system(1);oesophagus(2);parathyroid(1);NS(6);biliary_tract(1);stomach(10);soft_tissue(3);breast(3);prostate(5);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(7);ovary(3);bone(1);liver(9)	1	 The protein encoded by this gene is one of several isozymes of carbonic anhydrase. This protein is found only in  salivary glands and saliva and protein may play a role in the reversible hydratation of carbon dioxide though its  function in saliva is unknown. (provided by RefSeq)	6	http://www.ncbi.nlm.nih.gov/pubmed?term=CA6[TIAB]+AND+cancer[MH]				0.132	0.994805710789917	1	../MuPIT_Interactive?gm=chr1:8949347,chr1:8949385,chr1:8957145						
SLC2A7	2	MS							155	upper_aerodigestive_tract(1);thyroid(1);large_intestine(37);stomach(12);soft_tissue(1);liver(8);autonomic_ganglia(1);haematopoietic_and_lymphoid_tissue(1);kidney(2);endometrium(12);lung(4);breast(5);skin(38);central_nervous_system(7);oesophagus(5);ovary(1);NS(7);prostate(8);bone(1);pancreas(3)	1	 SLC2A7 belongs to a family of transporters that catalyze the uptake of sugars through facilitated diffusion (Li et	1	http://www.ncbi.nlm.nih.gov/pubmed?term=SLC2A7[TIAB]+AND+cancer[TIAB]				0.296	0.81441142437807	1							
H6PD	2	SY					C3551716	OMIM:604931	196	large_intestine(32);endometrium(13);lung(13);skin(39);kidney(6);thyroid(5);cervix(2);central_nervous_system(2);oesophagus(3);NS(3);upper_aerodigestive_tract(4);biliary_tract(3);stomach(13);soft_tissue(3);urinary_tract(7);liver(16);prostate(4);pancreas(5);small_intestine(1);haematopoietic_and_lymphoid_tissue(17);ovary(1);breast(4)	1	 There are 2 forms of glucose-6-phosphate dehydrogenase. G form is X-linked and H form, encoded by this gene, is	1	http://www.ncbi.nlm.nih.gov/pubmed?term=H6PD[TIAB]+AND+cancer[TIAB]													
